classification_ethnologue,classification_glottolog,classification_wals,code_glottolog,code_iso,code_wals,description,ethnologue_family,glottolog_family,id,jsondata,latitude,long_extinct,longitude,markup_description,name,number_of_speakers,pk,recently_extinct,txt,wals_family,wals_genus,wordlist_pk,year_of_extinction
"Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Danish-Bokmal","Indo-European,Germanic,NorthwestGermanic,NorthGermanic,WestScandinavian",IE.GERMANIC,norw1258,nor,,,Indo-European,Indo-European,NORWEGIAN_NYNORSK_TOTEN,{},59.27,False,11.15,,Norwegian Nynorsk Toten,5189940,3717,False,"NORWEGIAN_NYNORSK_TOTEN{IE.GERMANIC|Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Danish-Bokmal@Indo-European,Germanic,NorthwestGermanic,NorthGermanic,WestScandinavian}
 1   59.27   11.15     5189940         nor
1 I	je //
2 you	du //
3 we	vi //
11 one	e5 //
12 two	tu //
18 person	%pESun //
19 fish	fisk //
21 dog	biS3 //
22 louse	lus //
23 tree	tre //
25 leaf	lewv //
28 skin	hu //
30 blood	bLu //
31 bone	bein //
34 horn	he5 //
39 ear	er3 //
40 eye	3wve //
41 nose	noso //
43 tooth	tEn //
44 tongue	tuN3 //
47 knee	kne //
48 hand	hEn //
51 breast	bringe //
53 liver	lev3r //
54 drink	drek3 //
57 see	So //
58 hear	her3 //
61 die	dei //
66 come	komo //
72 sun	suL //
74 star	stjEn3 //
75 water	vatn //
77 stone	stein //
82 fire	el //
85 path	stig //
86 mountain	fjel //
92 night	nat //
95 full	ful //
96 new	ni //
100 name	namn //",IE,GERMANIC,3717,
"Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Danish-Bokmal","Indo-European,Germanic,NorthwestGermanic,NorthGermanic,WestScandinavian",IE.GERMANIC,norw1258,nor,,,Indo-European,Indo-European,NORWEGIAN_RIKSMAL,{},61.0,False,8.0,,Norwegian Riksmal,5189940,3718,False,"NORWEGIAN_RIKSMAL{IE.GERMANIC|Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Danish-Bokmal@Indo-European,Germanic,NorthwestGermanic,NorthGermanic,WestScandinavian}
 1   61.00    8.00     5189940         nor
1 I	yeg //
3 we	vi //
11 one	en //
12 two	to //
18 person	meneske //
19 fish	fisk //
21 dog	hund //
22 louse	lus //
23 tree	tre //
25 leaf	blad //
28 skin	hud //
30 blood	blod //
31 bone	ben //
39 ear	ere //
40 eye	eye //
41 nose	nese //
43 tooth	tan //
44 tongue	tuNe //
48 hand	hond //
53 liver	lever //
54 drink	drike //
57 see	se //
58 hear	here //
61 die	de //
66 come	kome //
72 sun	sol //
74 star	styerna, styerne //
75 water	van //
77 stone	sten //
82 fire	varme //
85 path	vei //
86 mountain	fyel //
92 night	nat //
96 new	ni //
100 name	navn //",IE,GERMANIC,3718,
"Indo-European,Germanic,West,English","Indo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Anglo-Frisian,Anglian",IE.GERMANIC,olde1238,ang,,,Indo-European,Indo-European,OLD_ENGLISH,{},51.06,True,-1.31,,Old English,0,3719,False,"OLD_ENGLISH{IE.GERMANIC|Indo-European,Germanic,West,English@Indo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Anglo-Frisian,Anglian}
 1   51.06   -1.31          -2         ang
1 I	ik //
2 you	8u //
3 we	we //
11 one	an //
12 two	tw~egen //
18 person	man //
19 fish	fisk //
21 dog	hund //
22 louse	lus //
23 tree	treow //
25 leaf	leaf //
28 skin	hid //
30 blood	blod //
31 bone	ban //
34 horn	horn //
39 ear	eare //
40 eye	eage //
41 nose	nosu //
43 tooth	to8 //
44 tongue	tuNe //
47 knee	kneow //
48 hand	hand //
51 breast	breost //
53 liver	lifer //
54 drink	driNk8 //
57 see	sie8 //
58 hear	hier8 //
61 die	stierf8 //
66 come	kim8 //
72 sun	sune //
74 star	steora //
75 water	wEter //
77 stone	stan //
82 fire	fir //
85 path	weg, strEt //
86 mountain	beorg //
92 night	nit //
95 full	ful //
96 new	niowe //
100 name	nama //",IE,GERMANIC,3719,
"Indo-European,Germanic,West,Frisian","Indo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Anglo-Frisian,Frisian",IE.GERMANIC,oldf1241,ofs,,,Indo-European,Indo-European,OLD_FRISIAN,{},53.0,True,6.0,,Old Frisian,0,3720,False,"OLD_FRISIAN{IE.GERMANIC|Indo-European,Germanic,West,Frisian@Indo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Anglo-Frisian,Frisian}
 1   53.00    6.00          -2         ofs
1 I	ik //
2 you	8u //
3 we	vi //
11 one	en //
12 two	tva //
18 person	lif, man //
19 fish	fisk //
21 dog	hund //
23 tree	bam, tre //
25 leaf	blEd //
28 skin	fEl, hed //
30 blood	blod //
31 bone	ben //
34 horn	horn //
39 ear	ar3 //
40 eye	ag3 //
41 nose	nos3 //
43 tooth	to8, tusk //
44 tongue	tuN3 //
47 knee	kni //
48 hand	hand //
51 breast	briast, brust //
53 liver	livEr3 //
54 drink	driNka //
57 see	sia, skavia //
58 hear	hera //
61 die	lica, stErva //
66 come	kuma //
72 sun	sun3 //
74 star	stera //
75 water	vat3r //
77 stone	sten //
82 fire	fior //
85 path	pa8, vEi //
86 mountain	bErx~ //
92 night	nat //
95 full	ful //
96 new	ni3 //
100 name	nama //",IE,GERMANIC,3720,
"Indo-European,Germanic,West","Indo-European,Germanic,NorthwestGermanic,WestGermanic,HighGerman",IE.GERMANIC,oldh1241,goh,,,Indo-European,Indo-European,OLD_HIGH_GERMAN,{},52.0,True,10.0,,Old High German,0,3721,False,"OLD_HIGH_GERMAN{IE.GERMANIC|Indo-European,Germanic,West@Indo-European,Germanic,NorthwestGermanic,WestGermanic,HighGerman}
 1   52.00   10.00          -2         goh
1 I	hik, ix //
2 you	du //
3 we	wir //
11 one	eino //
12 two	cwei //
18 person	man //
19 fish	fisko //
21 dog	hunt //
23 tree	lus //
25 leaf	loub, blat //
28 skin	huti //
30 blood	bloat //
31 bone	bein //
34 horn	horn //
39 ear	ore //
40 eye	ouga //
41 nose	nasa //
43 tooth	cand //
44 tongue	cuNa //
47 knee	knio //
48 hand	hant //
51 breast	brust //
53 liver	lebara //
54 drink	triNkan //
57 see	sehan //
58 hear	horen, gihoren //
61 die	sterban //
66 come	kw~eman //
72 sun	suna //
74 star	stern //
75 water	wazar //
77 stone	stein //
82 fire	fiur //
85 path	pad, weg //
86 mountain	berg //
92 night	nat //
95 full	fol //
96 new	niuwi //
100 name	namo //",IE,GERMANIC,3721,
"Indo-European,Germanic,West","Indo-European,Germanic,NorthwestGermanic,WestGermanic",IE.GERMANIC,,,,,Indo-European,Indo-European,OLD_LOW_FRANCONIAN,{},53.26,True,6.74,,Old Low Franconian,0,3722,False,"OLD_LOW_FRANCONIAN{IE.GERMANIC|Indo-European,Germanic,West@Indo-European,Germanic,NorthwestGermanic,WestGermanic}
 1   53.26    6.74          -2            
1 I	ik //
2 you	8u //
3 we	vi //
11 one	Ein //
12 two	tven3, tvi //
18 person	man //
21 dog	hund //
23 tree	bom, holt //
28 skin	hud //
30 blood	bluod //
31 bone	ben //
34 horn	horn //
39 ear	leor, ora //
40 eye	oga //
43 tooth	tand //
44 tongue	tuNa //
48 hand	hand //
54 drink	driNkan //
57 see	sian //
58 hear	hor3n //
61 die	stErvan //
66 come	kuman //
72 sun	suna //
75 water	vat3r //
77 stone	stEin //
82 fire	fuir //
85 path	far8, vEg //
86 mountain	bErg //
92 night	nat //
95 full	fol //
96 new	nuvi //
100 name	namo //",IE,GERMANIC,3722,
"Indo-European,Germanic,North","Indo-European,Germanic,NorthwestGermanic,NorthGermanic,WestScandinavian",IE.GERMANIC,oldn1244,non,,,Indo-European,Indo-European,OLD_NORSE,{},63.42,True,10.38,,Old Norse,0,3723,False,"OLD_NORSE{IE.GERMANIC|Indo-European,Germanic,North@Indo-European,Germanic,NorthwestGermanic,NorthGermanic,WestScandinavian}
 1   63.42   10.38          -2         non
1 I	Ek //
2 you	8u //
3 we	mer, wer //
11 one	Ein //
12 two	tw~Eir //
18 person	manesky~a, gumi //
19 fish	fiskr //
21 dog	garmr, hundr //
22 louse	lus //
23 tree	ba8mr, trE //
25 leaf	bla8 //
28 skin	fEl, skin //
30 blood	blo8 //
31 bone	bEin //
34 horn	horn //
39 ear	Eira //
40 eye	auXa //
41 nose	nEf, nos //
43 tooth	ton //
44 tongue	tuNga //
47 knee	kne //
48 hand	hond //
51 breast	bry~ost, briNga //
53 liver	lifr //
54 drink	drEka //
57 see	sy~a //
58 hear	hEira //
61 die	deya //
66 come	koma //
72 sun	sol, suna //
74 star	sty~arna //
75 water	watn //
77 stone	halr, stEin //
82 fire	Eldr //
85 path	gata, stigr //
86 mountain	bErg, fy~al //
92 night	nat //
95 full	fulr //
96 new	nir //
100 name	nafn, kal //",IE,GERMANIC,3723,
"Indo-European,Germanic,West","Indo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Altsachsisch",IE.GERMANIC,olds1250,osx,,,Indo-European,Indo-European,OLD_SAXON,{},52.37,True,9.72,,Old Saxon,0,3724,False,"OLD_SAXON{IE.GERMANIC|Indo-European,Germanic,West@Indo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Altsachsisch}
 1   52.37    9.72          -2         osx
1 I	ik //
2 you	8u //
3 we	vi //
11 one	en //
12 two	tven3 //
18 person	man, gumo //
19 fish	fisk //
21 dog	hunt //
22 louse	lus //
23 tree	bom //
25 leaf	blat //
28 skin	hud //
30 blood	blot //
31 bone	ben //
34 horn	horn //
39 ear	ora //
40 eye	oga //
41 nose	nasa //
43 tooth	tant //
44 tongue	tuNa //
47 knee	knio //
48 hand	hant //
51 breast	briost //
54 drink	driNkan //
57 see	giseha, seha //
58 hear	gihoria, horia //
61 die	svElta, doia //
66 come	kuma //
72 sun	suna //
74 star	stEro //
75 water	vatar //
77 stone	sten //
82 fire	fiur //
85 path	vEg, si8 //
86 mountain	bErg //
92 night	nat //
95 full	ful //
96 new	niuvi //
100 name	namo //",IE,GERMANIC,3724,
"Indo-European,Germanic,West,LowSaxon-LowFranconian,LowSaxon","Indo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Altsachsisch,Middle-ModernLowGerman,LowGerman",IE.GERMANIC,plau1238,pdt,,,Indo-European,Indo-European,PLAUTDIETSCH,{},53.0,False,10.0,,Plautdietsch,447360,3725,False,"PLAUTDIETSCH{IE.GERMANIC|Indo-European,Germanic,West,LowSaxon-LowFranconian,LowSaxon@Indo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Altsachsisch,Middle-ModernLowGerman,LowGerman}
 1   53.00   10.00      447360         pdt
1 I	ax //
2 you	du //
3 we	vi //
11 one	aint~ //
12 two	tvai //
18 person	menS~ //
19 fish	feS //
21 dog	hunt~ //
22 louse	lus //
23 tree	boum //
25 leaf	blaut //
28 skin	hut //
30 blood	blout //
31 bone	knoka //
34 horn	huorn //
40 eye	uog //
41 nose	nas //
43 tooth	tan //
44 tongue	tuN //
47 knee	xnai //
48 hand	haunt~ //
51 breast	bossam, brost //
53 liver	lavo //
54 drink	drinx~a //
57 see	sai //
58 hear	heora //
61 die	stova, omkoma //
66 come	koma //
72 sun	son //
74 star	staorn //
75 water	voto //
77 stone	stain //
82 fire	fio, braunt~ //
85 path	stiS //
86 mountain	boS //
92 night	not //
95 full	fol //
96 new	ni //
100 name	noma //",IE,GERMANIC,3725,
,,IE.GERMANIC,,,,,,,PROTO_GERMANIC,{},57.0,True,12.0,,Proto Germanic,0,3726,False,"PROTO_GERMANIC{IE.GERMANIC|@}
 1   57.00   12.00          -2            
1 I	ekan //
2 you	iuwiz //
3 we	wiz //
11 one	ainaz //
12 two	twai //
18 person	wextiz //
19 fish	fiskoyanan //
21 dog	xun8az //
22 louse	hnito //
23 tree	trewan //
25 leaf	laubhan //
30 blood	blo8an //
31 bone	bainan //
39 ear	auzon //
43 tooth	tan8, tun8 //
44 tongue	tunxon //
47 knee	knewan //
48 hand	handuz //
51 breast	breustan //
53 liver	libhro //
54 drink	drinkanan //
57 see	sexwanan //
58 hear	hauzyanan, hauryanan //
66 come	kw~emanan //
72 sun	sunon //
74 star	sterson, sterno //
75 water	watar //
77 stone	stainaz //
85 path	pa8a //
96 new	newyaz //
100 name	namon //",IE,GERMANIC,3726,
"Indo-European,Germanic,West,HighGerman,German,MiddleGerman,WestMiddleGerman","Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,HighFranconian,MiddleFranconian,Ripuarian",IE.GERMANIC,kols1241,ksh,grp,,Indo-European,Indo-European,RIPUARIAN_GERMAN,{},51.0,False,7.0,,Ripuarian German,250000,3727,False,"RIPUARIAN_GERMAN{IE.GERMANIC|Indo-European,Germanic,West,HighGerman,German,MiddleGerman,WestMiddleGerman@Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,HighFranconian,MiddleFranconian,Ripuarian}
 1   51.00    7.00      250000   grp   ksh
1 I	iX //
2 you	du //
3 we	mir, miX, meX //
11 one	en //
12 two	cwei //
18 person	mEnS //
19 fish	fEZS //
21 dog	hoNk //
22 louse	lus //
23 tree	bom //
25 leaf	blad3X //
30 blood	blut, blot //
34 horn	hoXn //
39 ear	uX //
40 eye	ox //
41 nose	nas //
43 tooth	caNk //
44 tongue	coN //
47 knee	knen //
48 hand	hant //
51 breast	buXS, boZS //
53 liver	lab //
54 drink	dreNk3 //
57 see	zen //
58 hear	hiX3 //
61 die	StEr3v3 //
66 come	kom3 //
72 sun	zon //
74 star	SteXn //
75 water	wazs3r //
77 stone	Sten //
82 fire	fir, for //
85 path	weyX, pat //
86 mountain	bEr3X //
92 night	nat //
95 full	v3l, f3l //
96 new	noy, ney //
100 name	nam3 //",IE,GERMANIC,3727,
"Indo-European,Germanic,West,LowSaxon-LowFranconian,LowSaxon","Indo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Altsachsisch,Middle-ModernLowGerman,LowGerman",IE.GERMANIC,sall1238,sdz,,,Indo-European,Indo-European,SALLANDS,{},52.45,False,6.29,,Sallands,0,3728,False,"SALLANDS{IE.GERMANIC|Indo-European,Germanic,West,LowSaxon-LowFranconian,LowSaxon@Indo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Altsachsisch,Middle-ModernLowGerman,LowGerman}
 1   52.45    6.29           0         sdz
1 I	ik //
2 you	u, iy //
3 we	wi //
11 one	en, en3 //
12 two	twe //
18 person	pErson, mEns //
19 fish	vis //
21 dog	hond //
23 tree	bom //
39 ear	or //
40 eye	og3 //
41 nose	nEze //
43 tooth	tand //
44 tongue	toN3 //
47 knee	kne //
48 hand	hand //
54 drink	drink7n //
57 see	zen //
58 hear	hEr3n //
61 die	stErv3n //
66 come	kom7n //
72 sun	zinn3 //
74 star	stErr3 //
75 water	wat3r //
77 stone	sten //
82 fire	vir //
85 path	pad //
92 night	naXt //
95 full	voll3 //
96 new	niy3 //
100 name	nam3 //",IE,GERMANIC,3728,
"Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Danish-Bokmal","Indo-European,Germanic,NorthwestGermanic,NorthGermanic,WestScandinavian",IE.GERMANIC,norw1258,nor,,,Indo-European,Indo-European,SANDNES_NORWEGIAN,{},61.0,False,8.0,,Sandnes Norwegian,5189940,3729,False,"SANDNES_NORWEGIAN{IE.GERMANIC|Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Danish-Bokmal@Indo-European,Germanic,NorthwestGermanic,NorthGermanic,WestScandinavian}
 1   61.00    8.00     5189940         nor
1 I	Eg //
3 we	me //
11 one	en //
12 two	to //
18 person	menesk //
19 fish	fisk //
21 dog	hon //
22 louse	lus //
23 tree	tre //
25 leaf	bla //
28 skin	syin //
30 blood	blo //
31 bone	bEin //
39 ear	Eyra //
40 eye	Eya //
41 nose	nase //
43 tooth	ton //
44 tongue	toNa //
48 hand	hon //
53 liver	lever //
54 drink	drika //
57 see	se //
58 hear	hEyra //
61 die	dEy //
66 come	koma //
72 sun	sol //
74 star	styerna //
75 water	vaten //
77 stone	steiden //
82 fire	el //
85 path	vei //
86 mountain	fyedel //
92 night	not //
96 new	nie //
100 name	navn //",IE,GERMANIC,3729,
"Indo-European,Germanic,West,HighGerman,German,MiddleGerman,EastMiddleGerman","Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,HighFranconian,RhineFranconian",IE.GERMANIC,uppe1400,sxu,,,Indo-European,Indo-European,SAXON_UPPER,{},51.33,False,12.48,,Saxon Upper,2000000,3730,False,"SAXON_UPPER{IE.GERMANIC|Indo-European,Germanic,West,HighGerman,German,MiddleGerman,EastMiddleGerman@Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,HighFranconian,RhineFranconian}
 1   51.33   12.48     2000000         sxu
1 I	iS //
2 you	d3 //
3 we	mia //
11 one	ens //
12 two	cve //
18 person	mEnS //
19 fish	fiS //
21 dog	hunt //
22 louse	lous //
23 tree	bom //
25 leaf	plot //
28 skin	hout //
30 blood	pl3t //
31 bone	knoN //
34 horn	hoan //
40 eye	oX3, gukS3 //
41 nose	noz3 //
43 tooth	con //
44 tongue	cuN3 //
47 knee	kni //
48 hand	hont, fod3 //
51 breast	pXust //
53 liver	lEba //
54 drink	tXiNkN, kudln //
57 see	zen, kukN //
58 hear	hean //
61 die	StEam //
66 come	kom //
72 sun	zon3 //
74 star	StEan //
75 water	vosa //
77 stone	Stoin //
82 fire	foia //
85 path	fot, veS //
86 mountain	bEak //
92 night	not //
95 full	fol //
96 new	noi //
100 name	nom3 //",IE,GERMANIC,3730,
"Indo-European,Germanic,West,English","Indo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Anglo-Frisian,Anglian",IE.GERMANIC,scot1243,sco,,,Indo-European,Indo-European,SCOTS,{},55.86,False,-4.26,,Scots,99200,3731,False,"SCOTS{IE.GERMANIC|Indo-European,Germanic,West,English@Indo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Anglo-Frisian,Anglian}
 1   55.86   -4.26       99200         sco
1 I	a, 3 //
2 you	yi, yu //
3 we	wi, w3 //
11 one	en, e //
12 two	tw~o //
18 person	bodi //
19 fish	fiS //
21 dog	dog, doug //
22 louse	lus, puli //
23 tree	tri //
25 leaf	lif, blad //
28 skin	skin //
30 blood	blid //
31 bone	ben //
34 horn	horn //
39 ear	ir //
40 eye	i, kik3r //
41 nose	noz, nEb //
43 tooth	te8, ti8 //
44 tongue	toN //
47 knee	ni, kni //
48 hand	hond, han //
51 breast	birzk3t, borzk3t //
54 drink	driNk~, bEb //
57 see	si //
58 hear	hir //
61 die	di //
66 come	kam, k3m //
72 sun	son, sin //
74 star	starn, blENk~3r //
75 water	wat3r //
77 stone	sten //
82 fire	f3i3r, iN3l //
85 path	pad, p38 //
86 mountain	bEn, montin //
92 night	nit //
95 full	fu //
96 new	ny~u //
100 name	nem //",IE,GERMANIC,3731,
"Indo-European,Germanic,West,English","Indo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Anglo-Frisian,Anglian",IE.GERMANIC,scot1243,sco,,,Indo-European,Indo-European,SCOTS_2,{},55.54,False,-6.0,,Scots 2,99200,3732,False,"SCOTS_2{IE.GERMANIC|Indo-European,Germanic,West,English@Indo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Anglo-Frisian,Anglian}
 1   55.54   -6.00       99200         sco
1 I	E //
2 you	8u, 8i //
3 we	wi, hiz //
11 one	in //
12 two	twa //
21 dog	dog //
22 louse	lus //
23 tree	tri //
31 bone	bon //
40 eye	e //
48 hand	han //
57 see	si //
58 hear	hir //
61 die	di //
66 come	kam //
72 sun	son //
75 water	wot3r //
77 stone	stin, sten, stan //
82 fire	eld, f3i3r //
85 path	pa8 //
92 night	nixt, neixt, nExt //
95 full	fol //
96 new	nyu //
100 name	nem //",IE,GERMANIC,3732,
"Indo-European,Germanic,West,HighGerman,German,MiddleGerman,EastMiddleGerman","Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,HighFranconian",IE.GERMANIC,stan1295,deu,gbl,,Indo-European,Indo-European,STANDARD_GERMAN,{},52.0,False,10.0,,Standard German,76029280,3733,False,"STANDARD_GERMAN{IE.GERMANIC|Indo-European,Germanic,West,HighGerman,German,MiddleGerman,EastMiddleGerman@Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,HighFranconian}
 1   52.00   10.00    76029280   gbl   deu
1 I	ix //
2 you	du //
3 we	vir //
11 one	ains //
12 two	cvai //
18 person	mEnS //
19 fish	fiS //
21 dog	hunt //
22 louse	laus //
23 tree	baum //
25 leaf	blat //
28 skin	haut //
30 blood	blut //
31 bone	knoX3n //
34 horn	horn //
39 ear	or //
40 eye	aug3 //
41 nose	naz3 //
43 tooth	ch~an //
44 tongue	ch~uN3 //
47 knee	kni //
48 hand	hant //
51 breast	brust //
53 liver	leb3r //
54 drink	triNk3n //
57 see	ze3n //
58 hear	her3n //
61 die	Sterb3n //
66 come	kh~om3n //
72 sun	zon3 //
74 star	StErn //
75 water	vas3r //
77 stone	Stain //
82 fire	foia //
85 path	pf~at, vek //
86 mountain	bErk //
92 night	naXt //
95 full	fol //
96 new	noi //
100 name	nam3 //",IE,GERMANIC,3733,
"Indo-European,Germanic,West,HighGerman,German,MiddleGerman,EastMiddleGerman","Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,HighFranconian",IE.GERMANIC,stan1295,deu,gbl,,Indo-European,Indo-European,STANDARD_GERMAN_2,{},52.0,False,10.0,,Standard German 2,76029280,3734,False,"STANDARD_GERMAN_2{IE.GERMANIC|Indo-European,Germanic,West,HighGerman,German,MiddleGerman,EastMiddleGerman@Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,HighFranconian}
 1   52.00   10.00    76029280   gbl   deu
1 I	iS //
2 you	du //
3 we	via //
4 this	dis //
5 that	das //
6 who	fea //
7 what	vas //
8 not	niSt //
9 all	ales //
11 one	ains //
12 two	cvai //
13 big	gXos //
14 long	laN //
15 small	klain //
16 woman	fXau //
17 man	man //
18 person	mEnS //
19 fish	fiS //
20 bird	fog3l //
21 dog	hunt //
22 louse	laus //
23 tree	baum //
24 seed	zat //
25 leaf	blat //
26 root	vuac3l //
27 bark	Xind3 //
28 skin	haut //
29 flesh	flaiS //
30 blood	blut //
31 bone	knoX3n //
32 grease	fEt //
33 egg	ai //
34 horn	hoan //
35 tail	Svanc //
36 feather	feda //
37 hair	haa //
38 head	kopf //
39 ear	oa //
40 eye	aug3 //
41 nose	naz3 //
42 mouth	munt //
43 tooth	can //
44 tongue	cuN3 //
45 claw	fiNEanag3l //
46 foot	fus //
47 knee	kni //
48 hand	hant //
49 belly	bauX //
50 neck	hals //
51 breast	buz3n //
52 heart	hEac //
53 liver	leba //
54 drink	tXiNk3n //
55 eat	Es3n //
56 bite	bais3n //
57 see	ze3n //
58 hear	heX3n //
59 know	vis3n //
60 sleep	Slaf3n //
61 die	StEab3n //
62 kill	tet3n //
63 swim	Svim3n //
64 fly	flig3n //
65 walk	lauf3n //
66 come	kom3n //
67 lie	lig3n //
68 sit	zic3n //
69 stand	Ste3n //
70 give	geb3n //
71 say	zag3n //
72 sun	zon3 //
73 moon	mont //
74 star	Stan //
75 water	vasa //
76 rain	Xeg3n //
77 stone	Stain //
78 sand	zant //
79 earth	Ead3 //
80 cloud	volk3 //
81 smoke	XauX //
82 fire	foia //
83 ash	aS3 //
84 burn	bXEn3n //
85 path	pfat //
86 mountain	bEak //
87 red	Xot //
88 green	gXin //
89 yellow	gElp //
90 white	vais //
91 black	Svaac //
92 night	naXt //
93 hot	vaam //
94 cold	kalt //
95 full	fol //
96 new	noi //
97 good	gut //
98 round	Xunt //
99 dry	tXok3n //
100 name	nam3 //",IE,GERMANIC,3734,
"Indo-European,Germanic,West,LowSaxon-LowFranconian,LowSaxon","Indo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Altsachsisch,Middle-ModernLowGerman,LowGerman",IE.GERMANIC,stel1238,stl,,,Indo-European,Indo-European,STELLINGWERFS,{},52.98,False,6.22,,Stellingwerfs,0,3735,True,"STELLINGWERFS{IE.GERMANIC|Indo-European,Germanic,West,LowSaxon-LowFranconian,LowSaxon@Indo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Altsachsisch,Middle-ModernLowGerman,LowGerman}
 1   52.98    6.22          -1         stl
1 I	ik, ik3 //
2 you	y3, you //
3 we	wiy //
11 one	ien, ien3 //
12 two	tviE, tviEy3 //
18 person	menske //
19 fish	fis //
21 dog	hont //
22 louse	lus //
23 tree	bom //
25 leaf	blat //
28 skin	hut, fEl //
30 blood	blut //
31 bone	boNk3, bin //
34 horn	horn, tut3r //
39 ear	or //
40 eye	ok, og3 //
41 nose	nez3 //
43 tooth	tan3 //
44 tongue	toN3 //
47 knee	kniy3, knib3l //
48 hand	hant //
51 breast	bost, bost3n //
53 liver	lev3r //
54 drink	driNk //
57 see	kik, zi //
58 hear	her //
61 die	dotga, starv //
66 come	kom //
72 sun	zun3 //
74 star	stern //
75 water	vEt3r //
77 stone	stin //
82 fire	fur //
85 path	pat, vek //
86 mountain	bark //
92 night	nat //
95 full	fol, fol3 //
96 new	niy, niy3 //
100 name	nEm3 //",IE,GERMANIC,3735,
"Indo-European,Germanic,West,HighGerman,German,UpperGerman,Alemannic","Indo-European,Germanic,NorthwestGermanic,WestGermanic,HighGerman,Middle-ModernHighGerman,ModernHighGerman,AlpineGermanic,Alemannic",IE.GERMANIC,swab1242,swg,,,Indo-European,Indo-European,SWABIAN,{},48.97,False,9.28,,Swabian,820000,3736,False,"SWABIAN{IE.GERMANIC|Indo-European,Germanic,West,HighGerman,German,UpperGerman,Alemannic@Indo-European,Germanic,NorthwestGermanic,WestGermanic,HighGerman,Middle-ModernHighGerman,ModernHighGerman,AlpineGermanic,Alemannic}
 1   48.97    9.28      820000         swg
1 I	i //
2 you	du //
3 we	mia //
11 one	ois //
12 two	cvoi //
18 person	mEnZE //
19 fish	fiS //
21 dog	hund //
22 louse	laus //
23 tree	bom //
25 leaf	blad //
28 skin	haut //
30 blood	blud //
31 bone	knoXE //
34 horn	hoan //
39 ear	EalE //
40 eye	augE, oiglE //
41 nose	ciNgE, nas //
43 tooth	can //
44 tongue	cuN, cuNE //
47 knee	knui //
48 hand	hEnd //
51 breast	bX~uSt //
53 liver	leba //
54 drink	dX~iNg~ //
57 see	se //
58 hear	hea //
61 die	StEab, Stuab //
66 come	kh~om //
72 sun	sonE //
74 star	StEan //
75 water	vaza, voza //
77 stone	Stoi //
82 fire	fuia //
85 path	veg //
86 mountain	bEag //
92 night	nad //
95 full	fol, ful //
96 new	noi //
100 name	nom, nomE //",IE,GERMANIC,3736,
